#ZVView-data-copy:   2-Oct-2017 15:26:51
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-129(N,EL)XE-129-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  10697
#data...
#            X            Y
#          MeV        barns
         1e-11      18.1464
   1.10304e-11      17.3073
   1.21669e-11      16.5097
   1.34206e-11      15.7518
   1.48034e-11      15.0317
   1.64438e-11      14.3001
   1.82652e-11      13.6082
   2.02893e-11      12.9534
   2.25366e-11      12.3346
   2.50341e-11      11.7495
    2.7807e-11       11.197
   3.08885e-11       10.675
   3.43098e-11      10.1825
   3.81119e-11       9.7177
   4.23333e-11      9.27971
   4.70246e-11      8.86687
   5.22332e-11       8.4784
   5.80216e-11      8.11279
   6.44483e-11      7.76933
   7.15903e-11      7.44669
   7.95198e-11       7.1442
   8.89508e-11      6.84249
   9.95003e-11      6.56143
   1.11301e-10      6.30001
   1.24501e-10      6.05725
   1.39267e-10      5.83223
   1.56883e-10      5.61152
   1.76718e-10      5.40888
   1.99071e-10      5.22309
   2.25822e-10      5.04381
   2.56168e-10       4.8813
   2.92627e-10      4.72673
   3.34292e-10      4.58827
   3.84565e-10       4.4586
   4.45496e-10      4.33867
   5.19722e-10      4.22905
   6.10592e-10      4.13009
   7.27435e-10      4.03848
   8.78907e-10      3.95556
    1.07685e-9      3.88215
    1.34742e-9      3.81659
    1.73389e-9      3.75839
    2.31078e-9      3.70769
    3.23431e-9      3.66411
    4.82141e-9      3.62808
    7.92824e-9        3.599
     1.5423e-8      3.57623
    2.52419e-8      3.56575
       2.53e-8      3.56571
     1.0342e-7      3.54242
    1.87954e-6      3.25758
    3.70791e-6      2.96392
    4.70503e-6      2.78508
    5.41259e-6      2.64023
    5.97029e-6      2.50908
    6.44866e-6      2.37937
    6.82035e-6      2.26402
    7.16294e-6       2.1435
     7.4704e-6      2.02234
    8.06897e-6      1.76389
    8.18281e-6       1.7201
    8.29826e-6      1.68487
    8.37909e-6      1.66981
    8.43016e-6      1.66652
    8.47698e-6      1.66926
    8.53657e-6      1.68323
    8.58147e-6       1.7039
    8.62679e-6       1.7363
    8.65701e-6      1.76592
    8.68722e-6      1.80334
    8.71786e-6      1.85075
     8.7485e-6      1.90957
    8.77914e-6       1.9821
    8.80212e-6      2.04722
    8.82532e-6      2.12389
    8.84862e-6      2.21376
    8.87193e-6      2.31864
    8.89523e-6       2.4411
    8.91854e-6      2.58427
    8.93407e-6      2.69306
    8.94879e-6      2.80732
     8.9635e-6      2.93382
    8.97821e-6      3.07403
    8.99293e-6      3.22962
    9.00764e-6      3.40253
    9.02235e-6      3.59499
    9.03707e-6      3.80959
    9.05178e-6      4.04933
     9.0633e-6      4.25677
    9.07481e-6      4.48369
    9.08633e-6      4.73232
    9.09784e-6      5.00515
    9.10936e-6      5.30509
    9.12088e-6      5.63546
    9.13239e-6      6.00007
    9.14391e-6      6.40338
    9.15255e-6      6.73433
    9.16118e-6      7.09244
    9.16982e-6      7.48052
    9.17846e-6      7.90176
    9.18709e-6       8.3598
    9.19573e-6      8.85875
    9.20437e-6      9.40333
      9.213e-6      9.99895
     9.2202e-6      10.5388
     9.2274e-6      11.1225
     9.2346e-6      11.7547
    9.24179e-6      12.4407
    9.24899e-6      13.1865
    9.25619e-6       13.999
    9.26339e-6      14.8861
    9.27058e-6      15.8566
    9.27663e-6       16.744
    9.28268e-6      17.7045
    9.28872e-6      18.7461
    9.29477e-6      19.8776
    9.30081e-6       21.109
    9.30686e-6      22.4516
    9.31291e-6      23.9181
    9.31895e-6      25.5228
      9.325e-6      27.2818
    9.33104e-6      29.2131
    9.33709e-6      31.3369
    9.34313e-6      33.6756
    9.34918e-6       36.254
    9.35408e-6      38.5356
    9.35983e-6      41.4652
    9.36559e-6      44.6866
    9.37135e-6      48.2292
    9.37711e-6      52.1247
    9.38286e-6      56.4063
    9.38862e-6      61.1087
    9.39438e-6      66.2673
    9.40014e-6       71.918
     9.4059e-6      78.0959
    9.41166e-6       84.835
    9.41741e-6      92.1668
    9.42317e-6      100.119
    9.42893e-6      108.715
    9.43469e-6      117.971
    9.44044e-6      127.895
     9.4462e-6      138.487
    9.45196e-6      149.735
     9.4606e-6      167.779
    9.46924e-6      187.101
    9.48075e-6      214.464
    9.50954e-6      285.698
    9.52106e-6      312.417
    9.52969e-6      330.612
    9.53891e-6      347.605
    9.54582e-6      358.364
    9.55215e-6      366.521
    9.55791e-6        372.4
    9.56499e-6      377.504
    9.57161e-6       380.07
    9.57655e-6      380.573
    9.58267e-6      379.527
    9.58843e-6      376.886
    9.59634e-6      370.734
    9.60282e-6      363.667
    9.61146e-6       351.68
    9.62009e-6      337.163
    9.62873e-6      320.605
    9.64025e-6      296.251
    9.67192e-6      224.917
    9.68343e-6      200.269
    9.69207e-6       182.91
    9.70071e-6        166.7
    9.70934e-6      151.736
     9.7151e-6      142.475
    9.72086e-6      133.786
    9.72662e-6      125.662
    9.73238e-6      118.089
    9.73813e-6      111.049
    9.74389e-6      104.518
    9.74965e-6      98.4703
    9.75541e-6      92.8786
    9.76117e-6      87.7141
    9.76692e-6      82.9476
    9.77268e-6      78.5504
    9.77844e-6      74.4944
     9.7842e-6      70.7524
    9.79283e-6      65.6725
    9.80003e-6      61.8768
    9.80867e-6      57.7837
    9.81731e-6      54.1327
    9.82594e-6      50.8663
    9.83487e-6      47.8421
    9.84408e-6      45.0447
    9.85329e-6      42.5326
    9.86251e-6      40.2679
    9.87172e-6      38.2184
    9.88093e-6      36.3568
    9.89014e-6      34.6598
    9.90396e-6      32.3808
    9.91476e-6      30.7918
    9.92556e-6      29.3472
    9.93995e-6      27.6152
    9.95435e-6      26.0734
    9.96874e-6      24.6934
    9.98314e-6      23.4522
    9.99753e-6      22.3309
    1.00119e-5      21.3137
    1.00335e-5      19.9548
    1.00551e-5      18.7649
    1.00767e-5      17.7157
    1.00983e-5      16.7847
    1.01199e-5      15.9541
    1.01432e-5      15.1523
      1.017e-5      14.3352
    1.01968e-5       13.612
    1.02236e-5       12.968
    1.02415e-5      12.5766
    1.02773e-5      11.8721
    1.03135e-5      11.2481
    1.03498e-5      10.6997
     1.0386e-5      10.2145
    1.04223e-5      9.78255
     1.0459e-5       9.3905
    1.05142e-5      8.87498
    1.05693e-5      8.43111
    1.06252e-5       8.0403
    1.06811e-5      7.69846
    1.07184e-5      7.49354
     1.0794e-5      7.12503
    1.08696e-5      6.80878
    1.09463e-5      6.53102
     1.1023e-5      6.28849
    1.11007e-5      6.07222
    1.12179e-5      5.79206
    1.13362e-5      5.55311
    1.14561e-5      5.34604
    1.15772e-5      5.16582
    1.17406e-5      4.95879
    1.19062e-5      4.78194
    1.20742e-5      4.62901
    1.22445e-5      4.49535
    1.25042e-5      4.32367
    1.27701e-5      4.17866
     1.3041e-5      4.05437
    1.34115e-5      3.91314
    1.37926e-5      3.79354
    1.42846e-5      3.66673
    1.48978e-5      3.53932
    1.55373e-5      3.43162
    1.63177e-5      3.32399
    1.72582e-5      3.21832
    1.85105e-5      3.10467
    1.99936e-5       2.9964
    2.17469e-5       2.8919
    2.39877e-5       2.7824
    2.66446e-5       2.6751
    3.00149e-5       2.5614
    3.42868e-5      2.43933
    3.99994e-5      2.29833
    5.59857e-5      1.94072
    6.08952e-5      1.81996
    6.48594e-5      1.71041
    6.76434e-5      1.62367
    7.00528e-5      1.53958
    7.20434e-5      1.46174
    7.35752e-5      1.39539
    7.51358e-5      1.32069
    7.67334e-5      1.23516
    7.78159e-5      1.17094
    7.89138e-5      1.09979
    8.00271e-5      1.02037
    8.08719e-5     0.954623
    8.17246e-5     0.882941
    8.25894e-5     0.804508
    8.34622e-5     0.719476
    8.44915e-5     0.613076
    8.53829e-5     0.519636
    8.58339e-5     0.474832
    8.61345e-5      0.44736
    8.63599e-5     0.428757
    8.65397e-5     0.415601
     8.6749e-5     0.402728
     8.6906e-5     0.395235
    8.70629e-5     0.390027
    8.72199e-5     0.387585
