#ZVView-data-copy:   6-Oct-2017 16:32:26
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,EL)XE-128-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3348
#data...
#            X            Y
#          MeV        barns
         1e-11      34.9924
   1.10304e-11      33.3738
   1.21669e-11      31.8354
   1.34206e-11      30.3735
   1.48034e-11      28.9845
   1.64438e-11      27.5732
   1.82652e-11      26.2385
   2.02893e-11      24.9755
   2.25366e-11      23.7818
   2.50341e-11       22.653
    2.7807e-11       21.587
   3.08885e-11      20.5799
   3.43098e-11      19.6297
   3.81119e-11      18.7329
   4.23333e-11      17.8878
   4.70246e-11      17.0912
   5.22332e-11      16.3415
   5.80216e-11       15.636
   6.44483e-11      14.9731
   7.15903e-11      14.3504
   7.95198e-11      13.7665
   8.89508e-11       13.184
   9.95003e-11      12.6414
   1.11301e-10      12.1366
   1.24501e-10      11.6678
   1.39267e-10      11.2333
   1.56883e-10      10.8069
   1.76718e-10      10.4154
   1.99071e-10      10.0565
   2.25822e-10      9.71001
   2.56168e-10      9.39588
   2.92627e-10      9.09706
   3.34292e-10      8.82932
   3.84565e-10      8.57855
   4.45496e-10      8.34654
   5.19722e-10      8.13446
   6.10592e-10      7.94298
   7.27435e-10      7.76569
   8.78907e-10       7.6052
    1.07685e-9      7.46312
    1.34742e-9      7.33627
    1.73389e-9      7.22368
    2.31078e-9      7.12566
    3.23431e-9       7.0415
    4.82141e-9      6.97212
    7.92824e-9      6.91657
     1.5423e-8      6.87429
    2.52419e-8      6.85638
       2.53e-8      6.85631
    1.02695e-7      6.83015
    2.48735e-6      6.65668
    6.35895e-6      6.43309
    1.09818e-5      6.22194
    1.64861e-5      6.02412
    2.32366e-5      5.83427
    3.16247e-5      5.65017
    4.24421e-5      5.46423
    5.77632e-5      5.25379
    7.91696e-5      4.98219
    8.55089e-5      4.87786
    8.91793e-5      4.79405
    9.17134e-5      4.71103
    9.36634e-5      4.61566
     9.4659e-5      4.54613
    9.56284e-5      4.45338
    9.62583e-5      4.37135
    9.66892e-5      4.29972
    9.71202e-5      4.20952
    9.74517e-5      4.12209
    9.77832e-5      4.01203
    9.80194e-5      3.91427
    9.82556e-5      3.79394
     9.8413e-5      3.69689
    9.85788e-5      3.57528
    9.87031e-5      3.46717
    9.88274e-5      3.34035
    9.89517e-5      3.18949
    9.90346e-5      3.07196
    9.91092e-5      2.95186
    9.91755e-5      2.83163
    9.92418e-5      2.69692
    9.93081e-5      2.54717
    9.94241e-5      2.26772
    9.94552e-5      2.20233
    9.94759e-5       2.1666
    9.94966e-5      2.14065
