#ZVView-data-copy:   6-Oct-2017 16:33:38
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,INL)XE-128
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  340
#data...
#            X            Y
#          MeV        barns
      0.446393            0
           0.5     0.219985
      0.521478      0.24906
      0.549808     0.285632
      0.574699     0.316241
      0.603747     0.350328
      0.636501      0.38685
      0.678159     0.430676
           0.7     0.452589
      0.748331      0.48511
           0.8     0.517631
      0.873885     0.558442
       0.93778     0.590618
      0.977146      0.60919
             1     0.666558
       1.02042     0.692297
       1.04125     0.718005
       1.06531     0.739318
       1.10875     0.776926
       1.14249       0.8054
       1.19504     0.848559
          1.25     0.892276
       1.29521     0.918457
       1.33018      0.93849
       1.34205     0.945208
       1.38442     0.968283
       1.44087     0.998593
           1.5      1.04855
       1.54105      1.07217
       1.57105      1.08918
       1.57713      1.09261
       1.59548      1.10287
       1.60573      1.11141
       1.61604      1.12009
       1.64649      1.13895
       1.68169      1.16063
       1.68273      1.16126
        1.7155      1.18103
       1.71604      1.18135
       1.75035      1.20159
        1.7507      1.20174
       1.78503      1.21809
       1.82003      1.23466
       1.83778      1.24299
       1.85571      1.25134
        1.8921      1.26782
       1.91852      1.28097
        1.9453      1.29429
       1.95375      1.29847
             2      1.32132
       2.00611       1.3239
       2.01224      1.32645
        2.0138       1.3276
       2.01537      1.32868
         2.031       1.3376
       2.04675      1.34657
       2.05865      1.35335
       2.07863      1.36469
       2.09475      1.37381
       2.09551      1.37424
         2.111      1.38296
       2.14387      1.40136
       2.19462      1.42825
       2.22045      1.44188
       2.24658      1.45556
       2.25859      1.46059
       2.27067      1.46595
       2.28067      1.47221
       2.29072      1.47837
       2.29889      1.48529
       2.31901      1.49683
       2.33421      1.50549
       2.34952      1.51415
       2.35978       1.5199
       2.38043      1.53147
       2.41012      1.54695
       2.42511      1.55479
       2.44019      1.56266
       2.44503      1.56544
       2.44987      1.56807
       2.46317       1.5766
       2.48255      1.58629
        2.4923      1.59118
       2.50208      1.59606
       2.51128      1.60172
       2.52052      1.60737
       2.52551      1.61011
        2.5305      1.61242
        2.5314      1.61389
       2.53231      1.61529
       2.53679      1.61771
       2.54128      1.62013
       2.54788       1.6228
       2.56092      1.62806
       2.56777      1.63083
       2.58637       1.6383
       2.59286      1.64091
       2.59454      1.64159
        2.6182      1.65099
       2.62184      1.65243
       2.64057      1.65981
       2.64893      1.66309
        2.6548      1.66541
       2.66313       1.6687
       2.68303      1.67652
       2.68436      1.67704
       2.69046      1.67942
       2.69046      1.67942
       2.69568      1.68154
       2.70182      1.68404
       2.72192       1.6922
       2.73264      1.69654
